,director_name,actor_2_name,actor_1_name,clean_title,cast_total_facebook_likes,actor_3_name,language,country,content_rating,imdb_score,movieId,year,genres,budget,original_title,popularity,revenue,title,language_n,year_n,country_n,content_rating_n,director_name_n,actor_1_name_n,actor_2_name_n,actor_3_name_n
1239,Alan Parker,Jimmy Nail,Andrea Corr,evita,164,Peter Polycarpou,English,USA,PG,6.3,1416,1996,Drama|History|Biography|Musical,55000000,Evita,6.709803,141047179.0,Evita,1,5,1,2,2,1,1,1
1240,John Frankenheimer,Natascha McElhone,Robert De Niro,ronin,24270,Michael Lonsdale,English,UK,R,7.3,2278,1998,Action|Thriller|Crime|Adventure,55000000,Ronin,9.672094,41610884.0,Ronin,1,5,2,4,3,41,1,1
1241,Paul King,Matt Lucas,Julie Walters,paddington,3697,Sally Hawkins,English,UK,PG,7.2,117887,2014,Children|Animation|Family|Fantasy|Comedy,55000000,Paddington,15.686836999999999,259207227.0,Paddington,1,5,2,2,1,8,3,7
1242,Jon Turteltaub,Maura Tierney,Anthony Hopkins,instinct,13406,John Ashton,English,USA,R,6.5,2676,1999,Thriller|Drama,80000000,Instinct,6.236116,0.0,Instinct,1,5,1,4,5,20,6,1
1243,Bobby Farrelly,Terence Bernie Hines,Matt Damon,stuck on you,14036,Seymour Cassel,English,USA,PG-13,5.8,7150,2003,Comedy,55000000,Stuck on You,6.96675,33828318.0,Stuck on You,1,5,1,1,9,24,1,6
1244,Kent Alterman,Maura Tierney,Will Ferrell,semi-pro,10026,Matt Walsh,English,USA,R,5.8,58156,2008,Comedy|Sport,0,Semi-Pro,6.733237,33472850.0,Semi-Pro,1,5,1,4,1,24,6,6
1245,Clint Eastwood,Michael Kelly,Angelina Jolie Pitt,changeling,12840,Colm Feore,English,USA,R,7.8,63062,2008,Thriller|Drama|Mystery|Crime,55000000,Changeling,11.672394,113020255.0,Changeling,1,5,1,4,19,19,8,6
1246,Andrew Davis,Morgan Freeman,Keanu Reeves,chain reaction,31014,Kevin Dunn,English,USA,PG-13,5.6,836,1996,Sci-Fi|Thriller|Action|Adventure|Drama,50000000,Chain Reaction,15.874491,60209334.0,Chain Reaction,1,5,1,1,3,13,33,8
1250,Joel Schumacher,Minnie Driver,Gerard Butler,the phantom of the opera,20660,Miranda Richardson,English,UK,PG-13,7.4,123107,1990,Mystery|Romance|Thriller|Drama|Musical,0,The Phantom of the Opera,11.083684,0.0,The Phantom of the Opera,1,4,2,1,9,20,10,6
1254,Shekhar Kapur,Abbie Cornish,Eddie Redmayne,elizabeth: the golden age,16899,Jordi Mollà,English,UK,PG-13,6.9,55274,2007,Drama|History|War|Biography,55000000,Elizabeth: The Golden Age,7.608242999999999,74237563.0,Elizabeth: The Golden Age,1,5,2,1,3,4,7,7
1255,Ron Maxwell,Bruce Boxleitner,Billy Campbell,gods and generals,1671,John Castle,English,USA,PG-13,6.3,6186,2003,Action|Drama|History|War,56000000,Gods and Generals,5.374562999999999,12923936.0,Gods and Generals,1,5,1,1,2,2,1,1
1256,Robert Butler,Lauren Holly,Hector Elizondo,turbulence,3952,Jeffrey DeMunn,English,USA,R,4.7,1427,1997,Action|Thriller,55000000,Turbulence,5.304043,11466088.0,Turbulence,1,5,1,4,1,6,1,1
1257,Karey Kirkpatrick,Ronny Cox,Stephen Root,imagine that,3742,Richard Schiff,English,USA,PG,5.6,69304,2009,Family|Drama|Comedy|Fantasy,55000000,Imagine That,6.308773,0.0,Imagine That,1,5,1,2,1,14,5,7
1258,James Bobin,Tina Fey,Ty Burrell,muppets most wanted,6089,Hugh Bonneville,English,USA,PG,6.4,110297,2014,Family|Crime|Adventure|Comedy|Musical,50000000,Muppets Most Wanted,7.244956,80383290.0,Muppets Most Wanted,1,5,1,2,1,6,7,1
1259,Jonathan Frakes,Philip Winchester,Sophia Myles,thunderbirds,2260,Brady Corbet,English,UK,PG,4.2,8782,2004,Sci-Fi|Family|Action|Adventure|Fantasy|Comedy,57000000,Thunderbirds,14.363420999999999,28283637.0,Thunderbirds,1,5,2,2,4,4,2,4
1260,Steve Antin,Peter Gallagher,Eric Dane,burlesque,4315,David Walton,English,USA,PG-13,6.4,83086,2010,Drama|Music|Romance|Musical,55000000,Burlesque,9.276539,89519773.0,Burlesque,1,5,1,1,1,3,6,2
1261,Stanley Kubrick,Shelley Winters,James Mason,lolita,1403,Lois Maxwell,English,UK,Not Rated,7.7,2025,1997,Drama|Crime|Romance,62000000,Lolita,10.618141,1060056.0,Lolita,1,5,2,10,5,2,2,7
1269,Guillermo del Toro,Thomas Kretschmann,Norman Reedus,blade ii,15371,Tony Curran,English,USA,R,6.7,5254,2002,Action|Sci-Fi|Horror|Thriller,54000000,Blade II,17.050639999999998,155010032.0,Blade II,1,5,1,4,4,4,7,7
1270,Gabriele Muccino,Rosario Dawson,Will Smith,seven pounds,14727,Madison Pettis,English,USA,PG-13,7.7,64716,2008,Drama|Romance,55000000,Seven Pounds,21.708267000000003,168167691.0,Seven Pounds,1,5,1,1,2,13,16,1
1271,Walter Hill,Jason Momoa,Sylvester Stallone,bullet to the head,25418,Jon Seda,English,USA,R,5.7,91483,2012,Action|Crime|Film-Noir|Thriller,55000000,Bullet to the Head,8.26008,9489829.0,Bullet to the Head,1,5,1,4,4,19,2,3
1272,Cameron Crowe,Kirsten Dunst,Orlando Bloom,elizabethtown,12700,Judy Greer,English,USA,PG-13,6.4,39231,2005,Drama|Comedy|Romance,57000000,Elizabethtown,11.82081,52034889.0,Elizabethtown,1,5,1,1,5,7,22,16
1273,Anthony Russo,Billy Gardell,Todd Stashwick,"you, me and dupree",847,Amanda Detmer,English,USA,PG-13,5.6,45726,2006,Comedy|Romance,54000000,"You, Me and Dupree",8.570085,130431368.0,"You, Me and Dupree",1,5,1,1,3,1,1,2
1274,Richard Lester,Ned Beatty,Margot Kidder,superman ii,2908,Jackie Cooper,English,USA,PG,6.8,2641,1980,Action|Sci-Fi|Romance|Adventure,54000000,Superman II,10.301621,190458706.0,Superman II,1,4,1,2,3,5,4,2
1275,Martin Brest,Lenny Venito,Todd Giebenhain,gigli,286,David Backus,English,USA,R,2.4,6587,2003,Crime|Comedy|Romance,54000000,Gigli,11.415316,7266209.0,Gigli,1,5,1,4,4,1,1,1
1276,Steven Zaillian,Anthony Hopkins,Kate Winslet,all the king's men,27614,Kevin Dunn,English,Germany,PG-13,6.2,1942,1949,Thriller|Drama,0,All the King's Men,3.975372,0.0,All the King's Men,1,2,6,1,1,17,20,8
1280,John Singleton,Vanessa Williams,Christian Bale,shaft,26527,Daniel von Bargen,English,Germany,R,5.9,3729,1971,Action|Drama|Crime|Thriller,4000000,Shaft,3.73688,12121618.0,Shaft,1,3,6,4,6,17,7,5
1284,Don Bluth,Kelsey Grammer,Kirsten Dunst,anastasia,6017,Bernadette Peters,English,USA,G,7.1,1688,1997,Mystery|Children|Romance|Family|Animation|Adventure|Fantasy|Drama|Musical,53000000,Anastasia,11.911173,139804348.0,Anastasia,1,5,1,3,2,22,6,3
1288,Harold Becker,Teri Polo,Steve Buscemi,domestic disturbance,13390,Matt O'Leary,English,USA,PG-13,5.5,4885,2001,Thriller|Mystery|Crime,75000000,Domestic Disturbance,6.3539959999999995,54249294.0,Domestic Disturbance,1,5,1,1,4,30,6,2
1289,Clint Eastwood,Chris Bauer,Paul Walker,flags of our fathers,24468,Tom McCarthy,English,USA,R,7.1,48783,2006,Drama|History|War,90000000,Flags of Our Fathers,9.224494,65900249.0,Flags of Our Fathers,1,5,1,4,19,12,4,2
1290,F. Gary Gray,Leslie Bibb,Gerard Butler,law abiding citizen,22517,Michael Kelly,English,USA,R,7.4,71838,2009,Thriller|Drama|Crime,53000000,Law Abiding Citizen,16.639047,126690726.0,Law Abiding Citizen,1,5,1,4,4,20,6,8
1291,Jonathan Demme,Kimberly Elise,Oprah Winfrey,beloved,2397,Hill Harper,English,USA,R,5.9,2314,1998,Horror|Drama|History,0,Beloved,1.557283,0.0,Beloved,1,5,1,4,3,4,3,4
1293,Curtis Hanson,Robert Duvall,Robert Downey Jr.,lucky you,26334,Kelvin Han Yee,English,USA,PG-13,5.9,52724,2007,Drama|Comedy|Romance|Sport,0,Lucky You,5.731132,5761917.0,Lucky You,1,5,1,1,5,20,15,1
1294,Steven Spielberg,Tom Hanks,Leonardo DiCaprio,catch me if you can,48153,Jennifer Garner,English,USA,PG-13,8.0,5989,2002,Drama|Crime|Biography,52000000,Catch Me If You Can,19.833077,352114312.0,Catch Me If You Can,1,5,1,1,19,13,20,8
1296,Kathryn Bigelow,Harold Perrineau,Jennifer Ehle,zero dark thirty,2759,Parker Sawyers,English,USA,R,7.4,98961,2012,Thriller|Drama|History|Action,40000000,Zero Dark Thirty,9.649303,132820716.0,Zero Dark Thirty,1,5,1,4,2,5,5,1
1297,Phyllida Lloyd,Meryl Streep,Colin Firth,mamma mia!,26002,Julie Walters,English,USA,PG-13,6.3,60397,2008,Family|Comedy|Romance|Musical,52000000,Mamma Mia!,10.534436999999999,609841637.0,Mamma Mia!,1,5,1,1,1,12,15,8
1298,Garry Marshall,Taylor Lautner,Bradley Cooper,valentine's day,45696,Anne Hathaway,English,USA,PG-13,5.7,74450,2010,Comedy|Romance,52000000,Valentine's Day,7.466721000000001,216485654.0,Valentine's Day,1,5,1,1,6,9,3,14
1299,Milos Forman,Gerry Becker,Matt Price,man on the moon,209,Tom Dreesen,English,UK,R,7.4,3174,1999,Drama|Comedy|Biography,82000000,Man on the Moon,13.217419,47434430.0,Man on the Moon,1,5,2,4,3,2,1,1
1300,Martin Scorsese,Don Rickles,Robert De Niro,casino,24183,Kevin Pollak,English,USA,R,8.2,16,1995,Drama|Crime|Biography,52000000,Casino,10.137389,116112375.0,Casino,1,5,1,4,13,41,3,6
1301,Pierre Morel,Amber Rose Revah,Kasia Smutniak,from paris with love,488,Rebecca Dayan,English,France,R,6.5,74851,2010,Action|Crime|Thriller,52000000,From Paris with Love,6.885592999999999,52826594.0,From Paris with Love,1,5,8,4,3,1,2,1
1302,Paul Hunter,Mako,Jaime King,bulletproof monk,2422,Victoria Smurfit,English,USA,PG-13,5.5,6294,2003,Sci-Fi|Action|Adventure|Fantasy|Comedy,52000000,Bulletproof Monk,7.963481,0.0,Bulletproof Monk,1,5,1,1,1,5,8,1
1303,Bobby Farrelly,Tony Cox,Robert Forster,"me, myself & irene",1711,Rob Moran,English,USA,R,6.5,3752,2000,Adventure|Comedy,51000000,"Me, Myself & Irene",9.95456,149270999.0,"Me, Myself & Irene",1,5,1,4,9,5,4,2
1304,John Whitesell,Jorge Garcia,Matthew Broderick,deck the halls,5468,Alia Shawkat,English,USA,PG,4.9,49282,2006,Family|Comedy,0,Deck the Halls,5.162761,47231070.0,Deck the Halls,1,5,1,2,5,9,1,3
1306,Andrew Adamson,Chris Miller,Kathleen Freeman,shrek,275,Bobby Block,English,USA,PG,7.9,4306,2001,Children|Romance|Family|Animation|Adventure|Fantasy|Comedy,60000000,Shrek,17.987728,484409218.0,Shrek,1,5,1,2,3,1,1,1
1307,Kevin Reynolds,Morgan Freeman,Alan Rickman,robin hood: prince of thieves,38518,Michael Wincott,English,USA,PG-13,6.9,1027,1991,Action|Drama|Romance|Adventure,48000000,Robin Hood: Prince of Thieves,10.639244,390493908.0,Robin Hood: Prince of Thieves,1,4,1,1,4,9,33,7
1308,Cameron Crowe,Kelly Preston,Tom Cruise,jerry maguire,12182,Bonnie Hunt,English,USA,R,7.3,1393,1996,Drama|Comedy|Romance|Sport,50000000,Jerry Maguire,11.807601,273552592.0,Jerry Maguire,1,5,1,4,5,21,9,4
1309,Seth MacFarlane,Seth MacFarlane,Mila Kunis,ted,21773,Tom Skerritt,English,USA,R,7.0,95441,2012,Fantasy|Comedy,50000000,Ted,19.638605,549368315.0,Ted,1,5,1,4,1,10,3,8
1310,James L. Brooks,Yeardley Smith,Lupe Ontiveros,as good as it gets,1474,Shirley Knight,English,USA,PG-13,7.7,1784,1997,Drama|Comedy|Romance,50000000,As Good as It Gets,9.374049000000001,314178011.0,As Good as It Gets,1,5,1,1,3,4,1,2
1311,Tom Shadyac,Philip Seymour Hoffman,Robin Williams,patch adams,74382,Monica Potter,English,USA,PG-13,6.7,2431,1998,Drama|Comedy|Biography|Romance,50000000,Patch Adams,12.52181,202292902.0,Patch Adams,1,5,1,1,6,23,18,6
1312,Adam McKay,Will Ferrell,Harrison Ford,anchorman 2: the legend continues,28176,Steve Carell,English,USA,PG-13,6.3,107348,2013,Comedy,50000000,Anchorman 2: The Legend Continues,7.600751,173649015.0,Anchorman 2: The Legend Continues,1,5,1,1,4,20,24,16
1313,Steven Brill,Adam Sandler,Steve Buscemi,mr. deeds,26826,Peter Gallagher,English,USA,PG-13,5.8,5449,2002,Comedy|Romance,50000000,Mr. Deeds,6.6743559999999995,171269535.0,Mr. Deeds,1,5,1,1,4,30,19,6
1314,J.J. Abrams,AJ Michalka,Joel Courtney,super 8,3388,Zach Mills,English,USA,PG-13,7.1,87306,2011,Thriller|Sci-Fi|Mystery|IMAX,50000000,Super 8,19.529911,260095987.0,Super 8,1,5,1,1,4,1,1,1
1315,Steven Soderbergh,Albert Finney,Julia Roberts,erin brockovich,10003,Conchata Ferrell,English,USA,R,7.3,3408,2000,Drama|Biography,52000000,Erin Brockovich,10.135446,256271286.0,Erin Brockovich,1,5,1,4,12,22,5,3
1316,Donald Petrie,Adam Goldberg,Matthew McConaughey,how to lose a guy in 10 days,14087,Thomas Lennon,English,USA,PG-13,6.4,6155,2003,Comedy|Romance,50000000,How to Lose a Guy in 10 Days,5.188107,177371441.0,How to Lose a Guy in 10 Days,1,5,1,1,7,19,6,8
1317,Phil Lord,Craig Roberts,Channing Tatum,22 jump street,19428,Amber Stevens West,English,USA,R,7.1,112138,2014,Action|Crime|Comedy,50000000,22 Jump Street,10.901496,188441614.0,22 Jump Street,1,5,1,4,4,15,4,1
1318,Peyton Reed,Zooey Deschanel,Bradley Cooper,yes man,29505,Danny Masterson,English,USA,PG-13,6.8,64969,2008,Comedy|Romance,70000000,Yes Man,9.756289,225990978.0,Yes Man,1,5,1,1,2,9,14,2
1319,Chris Columbus,Liam Aiken,Julia Roberts,stepmom,9988,Herbert Russell,English,USA,PG-13,6.7,2432,1998,Drama|Comedy,0,Stepmom,7.17892,0.0,Stepmom,1,5,1,1,9,22,4,2
1320,Rob Marshall,Meryl Streep,Johnny Depp,into the woods,62837,Anna Kendrick,English,USA,PG,6.0,8580,1991,Adventure|Fantasy|Drama|Comedy|Musical,0,Into the Woods,0.708742,0.0,Into the Woods,1,4,1,2,5,27,15,12
1326,Spike Lee,James Ransone,Denzel Washington,inside man,19148,Peter Gerety,English,USA,R,7.6,44199,2006,Thriller|Drama|Mystery|Crime,45000000,Inside Man,13.393548000000001,184376254.0,Inside Man,1,5,1,4,14,22,4,3
1327,Brian Helgeland,Deborah Kara Unger,Bill Duke,payback,3148,William Devane,English,USA,R,7.1,2490,1999,Action|Drama|Crime|Thriller,90000000,Payback,9.112008,161626121.0,Payback,1,5,1,4,3,8,5,3
1328,Frank Marshall,Joe Don Baker,Dylan Walsh,congo,1761,Grant Heslov,English,USA,PG-13,5.0,160,1995,Action|Sci-Fi|Mystery|Adventure,50000000,Congo,7.260574,152022101.0,Congo,1,5,1,1,4,3,4,2
1329,Cameron Crowe,Matt Damon,Scarlett Johansson,we bought a zoo,36873,Stephanie Szostak,English,USA,PG,7.1,91653,2011,Family|Drama|Comedy,50000000,We Bought a Zoo,10.563152,120081841.0,We Bought a Zoo,1,5,1,2,5,16,24,4
1330,Alex Proyas,Ben Mendelsohn,Nicolas Cage,knowing,13421,Chandler Canterbury,English,USA,PG-13,6.2,67197,2009,Sci-Fi|Mystery|Thriller|Action|Drama,50000000,Knowing,9.806904,155446362.0,Knowing,1,5,1,1,3,22,7,2
1331,Tom Dey,Matthew McConaughey,Bradley Cooper,failure to launch,37967,Zooey Deschanel,English,USA,PG-13,5.6,44004,2006,Comedy|Romance,50000000,Failure to Launch,9.438013,128406887.0,Failure to Launch,1,5,1,1,3,9,19,14
1332,Glenn Ficarra,Emma Stone,Ryan Gosling,"crazy, stupid, love.",57426,Steve Carell,English,USA,PG-13,7.4,88163,2011,Drama|Comedy|Romance,50000000,"Crazy, Stupid, Love.",10.246172999999999,142851197.0,"Crazy, Stupid, Love.",1,5,1,1,3,10,6,16
1333,Joe Roth,Cheech Marin,Jamie Lee Curtis,christmas with the kranks,6729,Jake Busey,English,USA,PG,5.2,8978,2004,Family|Children|Comedy,60000000,Christmas with the Kranks,7.584917999999999,0.0,Christmas with the Kranks,1,5,1,2,2,9,8,8
1334,Bennett Miller,Robin Wright,Philip Seymour Hoffman,moneyball,53094,Brad Pitt,English,USA,PG-13,7.6,89492,2011,Drama|Biography|Sport,50000000,Moneyball,15.785663000000001,110206216.0,Moneyball,1,5,1,1,2,18,8,24
1335,Wolfgang Petersen,Morgan Freeman,Kevin Spacey,outbreak,30383,Rene Russo,English,USA,R,6.6,292,1995,Action|Drama|Sci-Fi|Thriller,50000000,Outbreak,13.676444,189859560.0,Outbreak,1,5,1,4,4,15,33,7
1336,Jaume Collet-Serra,Nate Parker,Liam Neeson,non-stop,16967,Scoot McNairy,English,UK,PG-13,7.0,8037,1996,Mystery|Thriller|Crime|Action|Comedy,50000000,Non-Stop,19.650229,222809600.0,Non-Stop,1,5,2,1,5,24,5,5
1342,Andy Fickman,Billy Brown,Dwayne Johnson,race to witch mountain,14007,Tom Everett Scott,English,USA,PG,5.7,70305,2009,Sci-Fi|Children|Family|Thriller|Action|Fantasy|Adventure,50000000,Race to Witch Mountain,8.176147,106303988.0,Race to Witch Mountain,1,5,1,2,4,13,1,6
1343,James McTeigue,Eddie Marsan,Natalie Portman,v for vendetta,22417,Rupert Graves,English,USA,R,8.2,44191,2006,IMAX|Sci-Fi|Thriller|Action|Drama,54000000,V for Vendetta,20.214422,132511035.0,V for Vendetta,1,5,1,4,2,17,10,4
1344,David Dobkin,Anna-Louise Plowman,Fann Wong,shanghai knights,428,Georgina Chapman,English,USA,PG-13,6.2,6156,2003,Action|Comedy|Adventure,50000000,Shanghai Knights,7.469778,88323487.0,Shanghai Knights,1,5,1,1,2,1,1,1
1345,Matthew O'Callaghan,Frank Welker,Will Ferrell,curious george,11124,Alexander Gould,English,USA,G,6.6,43869,2006,Children|Family|Animation|Adventure|Comedy,50000000,Curious George,12.602502000000001,69834815.0,Curious George,1,5,1,3,1,24,7,3
1346,Gary Fleder,Jennifer Esposito,Oliver Platt,don't say a word,3341,Conrad Goode,English,USA,R,6.3,4814,2001,Thriller|Drama|Mystery|Crime,50000000,Don't Say a Word,6.824871000000001,100020092.0,Don't Say a Word,1,5,1,4,5,20,4,1
1347,Tommy Wirkola,Derek Mears,Jeremy Renner,hansel & gretel: witch hunters,11946,Ingrid Bolsø Berdal,English,Germany,R,6.1,100163,2013,Action|IMAX|Fantasy|Horror,50000000,Hansel & Gretel: Witch Hunters,10.337211,224803475.0,Hansel & Gretel: Witch Hunters,1,5,6,4,1,6,3,3
1348,Adrian Lyne,Erik Per Sullivan,Olivier Martinez,unfaithful,2583,Chad Lowe,English,USA,R,6.7,5364,2002,Thriller|Drama,50000000,Unfaithful,8.96839,119137784.0,Unfaithful,1,5,1,4,3,2,2,1
1349,D.J. Caruso,Emily Wickersham,Alex Pettyfer,i am number four,15608,Reuben Langdon,English,USA,PG-13,6.1,85056,2011,IMAX|Sci-Fi|Thriller|Action|Adventure,50000000,I Am Number Four,9.388376,144492830.0,I Am Number Four,1,5,1,1,3,4,1,1
1350,Stephen Gaghan,Amr Waked,Matt Damon,syriana,14747,Kayvan Novak,English,USA,R,7.0,40583,2005,Thriller|Drama,50000000,Syriana,5.768575,94000000.0,Syriana,1,5,1,4,2,24,2,2
1352,Richard Loncraine,Harrison Ford,Jimmy Bennett,firewall,101383,Mary Lynn Rajskub,English,USA,PG-13,5.8,43871,2006,Thriller|Drama|Crime,45000000,Firewall,6.5008919999999994,82800000.0,Firewall,1,5,1,1,3,7,20,6
1353,Clint Eastwood,Mark Margolis,Clint Eastwood,absolute power,19139,Scott Glenn,English,USA,R,6.7,1459,1997,Mystery|Thriller|Crime|Action|Drama,50000000,Absolute Power,7.661239999999999,50068310.0,Absolute Power,1,5,1,4,19,13,8,10
1354,Ridley Scott,Demi Moore,Viggo Mortensen,g.i. jane,15569,John Michael Higgins,English,USA,R,5.8,1586,1997,Action|Drama|War,50000000,G.I. Jane,9.37934,48169156.0,G.I. Jane,1,5,1,4,13,12,9,8
1355,Christophe Gans,Deborah Kara Unger,Radha Mitchell,silent hill,1933,Alice Krige,English,Canada,R,6.6,45081,2006,Mystery|Thriller|Adventure|Horror|Fantasy,50000000,Silent Hill,7.9384570000000005,97607453.0,Silent Hill,1,5,4,4,1,8,5,2
1356,Steven Quale,Alycia Debnam-Carey,Matt Walsh,into the storm,1367,Scott Lawrence,English,USA,PG-13,5.8,111314,2009,Action|Drama|War|Thriller,0,Into the Storm,11.322269,0.0,Into the Storm,1,5,1,1,2,6,1,1
1360,John Landis,Jon Tenney,Louis Lombardi,beverly hills cop iii,1093,Gilbert R. Hill,English,USA,R,5.5,420,1994,Action|Crime|Comedy|Thriller,50000000,Beverly Hills Cop III,11.787784,119208989.0,Beverly Hills Cop III,1,4,1,4,3,3,3,1
1361,Joe Dante,Robert Picardo,Christopher Lee,gremlins 2: the new batch,19610,Phoebe Cates,English,USA,PG-13,6.3,2004,1990,Fantasy|Comedy|Horror,50000000,Gremlins 2: The New Batch,14.383185000000001,41482207.0,Gremlins 2: The New Batch,1,4,1,1,5,9,2,3
1362,Alexander Witt,Thomas Kretschmann,Milla Jovovich,resident evil: apocalypse,16791,Mike Epps,English,Germany,R,6.2,8861,2004,Action|Sci-Fi|Horror|Thriller,45000000,Resident Evil: Apocalypse,7.850797,129394835.0,Resident Evil: Apocalypse,1,5,6,4,1,11,7,10
1363,Beeban Kidron,Jim Broadbent,Colin Firth,bridget jones: the edge of reason,15634,Celia Imrie,English,UK,R,5.9,8969,2004,Drama|Comedy|Romance,50000000,Bridget Jones: The Edge of Reason,7.78817,40203020.0,Bridget Jones: The Edge of Reason,1,5,2,4,1,12,20,4
1364,Carl Franklin,Sanaa Lathan,Denzel Washington,out of time,19739,John Billingsley,English,USA,R,6.5,6862,2003,Thriller|Drama|Crime|Romance,50000000,Out of Time,10.738888000000001,55495563.0,Out of Time,1,5,1,4,3,22,4,1
1366,Steven Seagal,Joan Chen,Mike Starr,on deadly ground,1860,Sven-Ole Thorsen,English,USA,R,4.4,7725,1994,Action|Thriller|Adventure,50000000,On Deadly Ground,6.678661,49000000.0,On Deadly Ground,1,4,1,4,1,8,2,1
1367,Garry Marshall,Felicity Huffman,Amber Valletta,raising helen,2052,Spencer Breslin,English,USA,PG-13,6.0,8362,2004,Drama|Comedy|Romance,50000000,Raising Helen,12.448933,49718611.0,Raising Helen,1,5,1,1,6,5,3,2
1368,James McTeigue,Ben Miles,Shô Kosugi,ninja assassin,701,Rain,English,USA,R,6.4,72489,2009,Action|Drama|Crime|Thriller,40000000,Ninja Assassin,9.163897,60462347.0,Ninja Assassin,1,5,1,4,2,1,2,1
1369,Sam Raimi,Kelly Preston,J.K. Simmons,for love of the game,25469,Carmine Giovinazzo,English,USA,PG-13,6.5,2861,1999,Drama|Comedy|Romance|Sport,50000000,For Love of the Game,4.950061,0.0,For Love of the Game,1,5,1,1,6,22,9,1
1370,Andrew Bergman,Rumer Willis,Demi Moore,striptease,3016,Paul Guilfoyle,English,USA,R,4.3,762,1996,Thriller|Crime|Drama|Comedy,50000000,Striptease,11.341502,113309743.0,Striptease,1,5,1,4,1,9,2,7
1371,Tom Dey,Judy Greer,Emma Stone,marmaduke,20061,Steve Coogan,English,USA,PG,4.2,77665,2010,Family|Comedy,50000000,Marmaduke,12.285544999999999,83761844.0,Marmaduke,1,5,1,2,3,6,16,12
1372,Clint Eastwood,Jay Mohr,Matt Damon,hereafter,14344,Cécile De France,English,USA,PG-13,6.5,81512,2010,Fantasy|Drama,50000000,Hereafter,7.942766000000001,105197635.0,Hereafter,1,5,1,1,19,24,4,2
1373,Barbet Schroeder,Chris Penn,Ryan Gosling,murder by numbers,34606,Agnes Bruckner,English,USA,R,6.1,5312,2002,Thriller|Mystery|Crime,50000000,Murder by Numbers,9.645800999999999,56714147.0,Murder by Numbers,1,5,1,4,2,10,6,4
1375,Richard Donner,Sylvester Stallone,Muse Watson,assassins,58528,Kelly Rowan,English,France,R,6.3,23,1995,Action|Crime|Thriller,50000000,Assassins,11.065939,30303072.0,Assassins,1,5,8,4,10,4,19,1
1376,Peter Webber,Stephen Walters,Li Gong,hannibal rising,1344,Richard Brake,English,UK,R,6.2,50804,2007,Thriller|Drama|Crime|Horror,50000000,Hannibal Rising,2.159558,82169884.0,Hannibal Rising,1,5,2,4,2,4,2,1
1377,John McTiernan,Harry Connick Jr.,Connie Nielsen,basic,3357,Tim Daly,English,Germany,R,6.5,6263,2003,Mystery|Thriller|Crime|Action|Drama|War,50000000,Basic,14.327717000000002,42792561.0,Basic,1,5,6,4,6,7,7,3
1378,Clint Eastwood,Anjelica Huston,Clint Eastwood,blood work,18635,Rick Hoffman,English,USA,R,6.4,5506,2002,Mystery|Thriller|Crime|Action|Drama,50000000,Blood Work,5.852263,26199517.0,Blood Work,1,5,1,4,19,13,4,2
1379,John Carpenter,Valeria Golino,Steve Buscemi,escape from l.a.,15935,Michelle Forbes,English,USA,R,5.7,849,1996,Action|Sci-Fi|Thriller|Adventure,50000000,Escape from L.A.,12.229381,42277365.0,Escape from L.A.,1,5,1,4,8,30,4,1
1380,Seth Michael Donsky,Brittany Curran,Grey Damon,twisted,2758,Aaron Hill,English,USA,missing,7.5,1723,1996,Thriller|Drama|Mystery|Comedy,0,Twisted,0.516097,0.0,Twisted,1,5,1,0,1,1,1,1
1386,Stephen Herek,Vanessa Ferlito,Christina Milian,man of the house,6171,Kelli Garner,English,USA,PG-13,5.4,274,1995,Action|Comedy,0,Man of the House,2.558118,0.0,Man of the House,1,5,1,1,7,5,2,6
1390,Jaume Collet-Serra,Common,Liam Neeson,run all night,16992,Bruce McGill,English,USA,R,6.6,129937,2015,Mystery|Thriller|Crime|Action|Drama,50000000,Run All Night,16.838145,71561644.0,Run All Night,1,6,1,4,5,24,7,10
1391,David Cronenberg,Naomi Watts,Viggo Mortensen,eastern promises,17211,Raza Jaffrey,English,USA,R,7.7,55118,2007,Thriller|Drama|Mystery|Crime,51500000,Eastern Promises,9.897909,55112356.0,Eastern Promises,1,5,1,4,4,12,14,1
1392,John Stockwell,James Frain,Paul Walker,into the blue,25049,Ashley Scott,English,USA,PG-13,5.8,37853,2005,Action|Thriller|Crime|Adventure,50000000,Into the Blue,10.022102,44434439.0,Into the Blue,1,5,1,1,3,12,8,4
1393,David Gordon Green,Zooey Deschanel,Natalie Portman,your highness,45202,James Franco,English,USA,R,5.6,87529,2011,Adventure|Comedy|Action|Fantasy,49900000,Your Highness,5.67375,26121638.0,Your Highness,1,5,1,4,6,17,14,21
1394,Jim Sheridan,Gregory Smith,Naomi Watts,dream house,8018,Sarah Gadon,English,USA,PG-13,6.0,90578,2011,Thriller|Drama|Mystery,50000000,Dream House,9.995617,38502340.0,Dream House,1,5,1,1,3,14,4,3
1395,Costa-Gavras,Blythe Danner,Mia Kirshner,mad city,2606,William Atherton,English,USA,PG-13,6.2,1667,1997,Thriller|Drama|Crime|Action,50000000,Mad City,4.909738,10541523.0,Mad City,1,5,1,1,2,4,5,2
